Drug Type,Demographic,Death Rate,Year
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Stimulants,Hispanic,2.4,2006
Stimulants,American Indian or Alaska Native (Non-Hispanic),2.8,2006
Cocaine,Overall,2.5,2006
Cocaine,White (Non-Hispanic),2.3,2006
Cocaine,Black (Non-Hispanic),5.6,2006
Cocaine,Asian (Non-Hispanic),0.4,2006
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Cocaine,Hispanic,1.9,2006
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.6,2006
Psychostimulants,Overall,0.5,2006
Psychostimulants,White (Non-Hispanic),0.6,2006
Psychostimulants,Black (Non-Hispanic),0.2,2006
Psychostimulants,Asian (Non-Hispanic),0.3,2006
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Psychostimulants,Hispanic,0.5,2006
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),1.2,2006
Total Overdose Deaths,Overall,11.9,2007
Total Overdose Deaths,White (Non-Hispanic),14.5,2007
Total Overdose Deaths,Black (Non-Hispanic),9.7,2007
Total Overdose Deaths,Asian (Non-Hispanic),,2007
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Total Overdose Deaths,Hispanic,5.9,2007
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),14.2,2007
Any opioid,Overall,6.1,2007
Any opioid,White (Non-Hispanic),7.8,2007
Any opioid,Black (Non-Hispanic),3.6,2007
Any opioid,Asian (Non-Hispanic),0.5,2007
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Any opioid,Hispanic,3.2,2007
Any opioid,American Indian or Alaska Native (Non-Hispanic),7.8,2007
Prescription opioids,Overall,4.2,2007
Prescription opioids,White (Non-Hispanic),5.6,2007
Prescription opioids,Black (Non-Hispanic),1.8,2007
Prescription opioids,Asian (Non-Hispanic),0.3,2007
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Prescription opioids,Hispanic,1.9,2007
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),5.22,2007
Synthetic opioids,Overall,0.7,2007
Synthetic opioids,White (Non-Hispanic),1.0,2007
Synthetic opioids,Black (Non-Hispanic),0.2,2007
Synthetic opioids,Asian (Non-Hispanic),,2007
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Synthetic opioids,Hispanic,0.2,2007
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),0.9,2007
Heroin,Overall,0.8,2007
Heroin,White (Non-Hispanic),0.9,2007
Heroin,Black (Non-Hispanic),0.8,2007
Heroin,Asian (Non-Hispanic),,2007
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Heroin,Hispanic,0.8,2007
Heroin,American Indian or Alaska Native (Non-Hispanic),0.9,2007
Stimulants,Overall,2.6,2007
Stimulants,White (Non-Hispanic),2.5,2007
Stimulants,Black (Non-Hispanic),4.8,2007
Stimulants,Asian (Non-Hispanic),,2007
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Stimulants,Hispanic,1.9,2007
Stimulants,American Indian or Alaska Native (Non-Hispanic),3.0,2007
Cocaine,Overall,2.2,2007
Cocaine,White (Non-Hispanic),2.0,2007
Cocaine,Black (Non-Hispanic),4.7,2007
Cocaine,Asian (Non-Hispanic),0.3,2007
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Cocaine,Hispanic,1.6,2007
Cocaine,American Indian or Alaska Native (Non-Hispanic),2.1,2007
Psychostimulants,Overall,0.4,2007
Psychostimulants,White (Non-Hispanic),0.6,2007
Psychostimulants,Black (Non-Hispanic),0.2,2007
Psychostimulants,Asian (Non-Hispanic),0.2,2007
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Psychostimulants,Hispanic,0.4,2007
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),0.9,2007
Total Overdose Deaths,Overall,11.9,2008
Total Overdose Deaths,White (Non-Hispanic),14.8,2008
Total Overdose Deaths,Black (Non-Hispanic),8.4,2008
Total Overdose Deaths,Asian (Non-Hispanic),,2008
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Total Overdose Deaths,Hispanic,5.8,2008
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),15.8,2008
Any opioid,Overall,6.4,2008
Any opioid,White (Non-Hispanic),8.2,2008
Any opioid,Black (Non-Hispanic),3.4,2008
Any opioid,Asian (Non-Hispanic),0.6,2008
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Any opioid,Hispanic,3.4,2008
Any opioid,American Indian or Alaska Native (Non-Hispanic),9.3,2008
Prescription opioids,Overall,4.3,2008
Prescription opioids,White (Non-Hispanic),5.7,2008
Prescription opioids,Black (Non-Hispanic),1.8,2008
Prescription opioids,Asian (Non-Hispanic),0.4,2008
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Prescription opioids,Hispanic,1.9,2008
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),6.113,2008
Synthetic opioids,Overall,0.8,2008
Synthetic opioids,White (Non-Hispanic),1.0,2008
Synthetic opioids,Black (Non-Hispanic),0.2,2008
Synthetic opioids,Asian (Non-Hispanic),,2008
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Synthetic opioids,Hispanic,0.2,2008
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),1.8,2008
Heroin,Overall,1.0,2008
Heroin,White (Non-Hispanic),1.2,2008
Heroin,Black (Non-Hispanic),0.8,2008
Heroin,Asian (Non-Hispanic),,2008
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Heroin,Hispanic,1.0,2008
Heroin,American Indian or Alaska Native (Non-Hispanic),,2008
Stimulants,Overall,2.1,2008
Stimulants,White (Non-Hispanic),2.1,2008
Stimulants,Black (Non-Hispanic),3.5,2008
Stimulants,Asian (Non-Hispanic),,2008
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Stimulants,Hispanic,1.6,2008
Stimulants,American Indian or Alaska Native (Non-Hispanic),2.5,2008
Cocaine,Overall,1.7,2008
Cocaine,White (Non-Hispanic),1.6,2008
Cocaine,Black (Non-Hispanic),3.4,2008
Cocaine,Asian (Non-Hispanic),0.2,2008
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Cocaine,Hispanic,1.3,2008
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.5,2008
Psychostimulants,Overall,0.4,2008
Psychostimulants,White (Non-Hispanic),0.5,2008
Psychostimulants,Black (Non-Hispanic),0.2,2008
Psychostimulants,Asian (Non-Hispanic),0.3,2008
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Psychostimulants,Hispanic,0.4,2008
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),1.1,2008
Total Overdose Deaths,Overall,11.9,2009
Total Overdose Deaths,White (Non-Hispanic),15.0,2009
Total Overdose Deaths,Black (Non-Hispanic),8.3,2009
Total Overdose Deaths,Asian (Non-Hispanic),,2009
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2009
Total Overdose Deaths,Hispanic,5.8,2009
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),17.7,2009
Any opioid,Overall,6.6,2009
Any opioid,White (Non-Hispanic),8.6,2009
Any opioid,Black (Non-Hispanic),3.6,2009
Any opioid,Asian (Non-Hispanic),0.6,2009
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2009
Any opioid,Hispanic,3.2,2009
Any opioid,American Indian or Alaska Native (Non-Hispanic),11.3,2009
Prescription opioids,Overall,4.4,2009
Prescription opioids,White (Non-Hispanic),5.8,2009
Prescription opioids,Black (Non-Hispanic),1.9,2009
Prescription opioids,Asian (Non-Hispanic),0.4,2009
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2009
Prescription opioids,Hispanic,1.7,2009
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),7.752,2009
Synthetic opioids,Overall,1.0,2009
Synthetic opioids,White (Non-Hispanic),1.2,2009
Synthetic opioids,Black (Non-Hispanic),0.3,2009
Synthetic opioids,Asian (Non-Hispanic),,2009
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2009
Synthetic opioids,Hispanic,0.3,2009
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),2.4,2009
Heroin,Overall,1.1,2009
Heroin,White (Non-Hispanic),1.3,2009
Heroin,Black (Non-Hispanic),0.9,2009
Heroin,Asian (Non-Hispanic),,2009
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2009
Heroin,Hispanic,1.0,2009
Heroin,American Indian or Alaska Native (Non-Hispanic),1.3,2009
Stimulants,Overall,1.9,2009
Stimulants,White (Non-Hispanic),1.9,2009
Stimulants,Black (Non-Hispanic),3.4,2009
Stimulants,Asian (Non-Hispanic),,2009
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2009
Stimulants,Hispanic,1.5,2009
Stimulants,American Indian or Alaska Native (Non-Hispanic),2.8,2009
Cocaine,Overall,1.4,2009
Cocaine,White (Non-Hispanic),1.3,2009
Cocaine,Black (Non-Hispanic),3.2,2009
Cocaine,Asian (Non-Hispanic),0.2,2009
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2009
Cocaine,Hispanic,1.1,2009
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.8,2009
Psychostimulants,Overall,0.5,2009
Psychostimulants,White (Non-Hispanic),0.6,2009
Psychostimulants,Black (Non-Hispanic),0.1,2009
Psychostimulants,Asian (Non-Hispanic),0.4,2009
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2009
Psychostimulants,Hispanic,0.4,2009
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),1.2,2009
Total Overdose Deaths,Overall,12.3,2010
Total Overdose Deaths,White (Non-Hispanic),15.7,2010
Total Overdose Deaths,Black (Non-Hispanic),8.0,2010
Total Overdose Deaths,Asian (Non-Hispanic),,2010
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2010
Total Overdose Deaths,Hispanic,5.6,2010
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),16.8,2010
Any opioid,Overall,6.8,2010
Any opioid,White (Non-Hispanic),9.1,2010
Any opioid,Black (Non-Hispanic),3.4,2010
Any opioid,Asian (Non-Hispanic),0.7,2010
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2010
Any opioid,Hispanic,2.9,2010
Any opioid,American Indian or Alaska Native (Non-Hispanic),9.4,2010
Prescription opioids,Overall,4.7,2010
Prescription opioids,White (Non-Hispanic),6.4,2010
Prescription opioids,Black (Non-Hispanic),2.0,2010
Prescription opioids,Asian (Non-Hispanic),0.5,2010
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2010
Prescription opioids,Hispanic,1.7,2010
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),7.217,2010
Synthetic opioids,Overall,1.0,2010
Synthetic opioids,White (Non-Hispanic),1.3,2010
Synthetic opioids,Black (Non-Hispanic),0.4,2010
Synthetic opioids,Asian (Non-Hispanic),,2010
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2010
Synthetic opioids,Hispanic,0.2,2010
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),1.2,2010
Heroin,Overall,1.0,2010
Heroin,White (Non-Hispanic),1.2,2010
Heroin,Black (Non-Hispanic),0.8,2010
Heroin,Asian (Non-Hispanic),,2010
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2010
Heroin,Hispanic,0.8,2010
Heroin,American Indian or Alaska Native (Non-Hispanic),1.1,2010
Stimulants,Overall,1.9,2010
Stimulants,White (Non-Hispanic),1.9,2010
Stimulants,Black (Non-Hispanic),3.3,2010
Stimulants,Asian (Non-Hispanic),,2010
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2010
Stimulants,Hispanic,1.4,2010
Stimulants,American Indian or Alaska Native (Non-Hispanic),3.3,2010
Cocaine,Overall,1.3,2010
Cocaine,White (Non-Hispanic),1.2,2010
Cocaine,Black (Non-Hispanic),3.1,2010
Cocaine,Asian (Non-Hispanic),0.2,2010
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2010
Cocaine,Hispanic,0.9,2010
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.9,2010
Psychostimulants,Overall,0.6,2010
Psychostimulants,White (Non-Hispanic),0.7,2010
Psychostimulants,Black (Non-Hispanic),0.2,2010
Psychostimulants,Asian (Non-Hispanic),0.4,2010
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2010
Psychostimulants,Hispanic,0.5,2010
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),1.5,2010
Total Overdose Deaths,Overall,13.2,2011
Total Overdose Deaths,White (Non-Hispanic),16.9,2011
Total Overdose Deaths,Black (Non-Hispanic),8.5,2011
Total Overdose Deaths,Asian (Non-Hispanic),,2011
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2011
Total Overdose Deaths,Hispanic,6.1,2011
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),18.2,2011
Any opioid,Overall,7.3,2011
Any opioid,White (Non-Hispanic),9.7,2011
Any opioid,Black (Non-Hispanic),3.8,2011
Any opioid,Asian (Non-Hispanic),0.8,2011
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2011
Any opioid,Hispanic,3.3,2011
Any opioid,American Indian or Alaska Native (Non-Hispanic),10.3,2011
Prescription opioids,Overall,4.9,2011
Prescription opioids,White (Non-Hispanic),6.6,2011
Prescription opioids,Black (Non-Hispanic),2.0,2011
Prescription opioids,Asian (Non-Hispanic),0.5,2011
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2011
Prescription opioids,Hispanic,1.8,2011
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),7.098,2011
Synthetic opioids,Overall,0.8,2011
Synthetic opioids,White (Non-Hispanic),1.2,2011
Synthetic opioids,Black (Non-Hispanic),0.3,2011
Synthetic opioids,Asian (Non-Hispanic),0.1,2011
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2011
Synthetic opioids,Hispanic,0.3,2011
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),1.4,2011
Heroin,Overall,1.4,2011
Heroin,White (Non-Hispanic),1.8,2011
Heroin,Black (Non-Hispanic),1.0,2011
Heroin,Asian (Non-Hispanic),0.2,2011
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2011
Heroin,Hispanic,1.0,2011
Heroin,American Indian or Alaska Native (Non-Hispanic),1.8,2011
Stimulants,Overall,2.2,2011
Stimulants,White (Non-Hispanic),2.2,2011
Stimulants,Black (Non-Hispanic),3.3,2011
Stimulants,Asian (Non-Hispanic),,2011
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2011
Stimulants,Hispanic,1.6,2011
Stimulants,American Indian or Alaska Native (Non-Hispanic),3.6,2011
Cocaine,Overall,1.5,2011
Cocaine,White (Non-Hispanic),1.4,2011
Cocaine,Black (Non-Hispanic),3.1,2011
Cocaine,Asian (Non-Hispanic),0.2,2011
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2011
Cocaine,Hispanic,1.1,2011
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.6,2011
Psychostimulants,Overall,0.7,2011
Psychostimulants,White (Non-Hispanic),0.9,2011
Psychostimulants,Black (Non-Hispanic),0.2,2011
Psychostimulants,Asian (Non-Hispanic),0.4,2011
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2011
Psychostimulants,Hispanic,0.5,2011
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),2.4,2011
Total Overdose Deaths,Overall,13.1,2012
Total Overdose Deaths,White (Non-Hispanic),16.8,2012
Total Overdose Deaths,Black (Non-Hispanic),8.7,2012
Total Overdose Deaths,Asian (Non-Hispanic),,2012
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2012
Total Overdose Deaths,Hispanic,6.3,2012
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),18.9,2012
Any opioid,Overall,7.4,2012
Any opioid,White (Non-Hispanic),9.8,2012
Any opioid,Black (Non-Hispanic),4.0,2012
Any opioid,Asian (Non-Hispanic),0.9,2012
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2012
Any opioid,Hispanic,3.5,2012
Any opioid,American Indian or Alaska Native (Non-Hispanic),11.0,2012
Prescription opioids,Overall,4.5,2012
Prescription opioids,White (Non-Hispanic),6.0,2012
Prescription opioids,Black (Non-Hispanic),2.0,2012
Prescription opioids,Asian (Non-Hispanic),0.6,2012
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2012
Prescription opioids,Hispanic,1.8,2012
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),7.489,2012
Synthetic opioids,Overall,0.8,2012
Synthetic opioids,White (Non-Hispanic),1.1,2012
Synthetic opioids,Black (Non-Hispanic),0.3,2012
Synthetic opioids,Asian (Non-Hispanic),,2012
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2012
Synthetic opioids,Hispanic,0.3,2012
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),1.6,2012
Heroin,Overall,1.9,2012
Heroin,White (Non-Hispanic),2.5,2012
Heroin,Black (Non-Hispanic),1.3,2012
Heroin,Asian (Non-Hispanic),0.2,2012
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2012
Heroin,Hispanic,1.3,2012
Heroin,American Indian or Alaska Native (Non-Hispanic),1.7,2012
Stimulants,Overall,2.2,2012
Stimulants,White (Non-Hispanic),2.3,2012
Stimulants,Black (Non-Hispanic),3.2,2012
Stimulants,Asian (Non-Hispanic),,2012
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2012
Stimulants,Hispanic,1.6,2012
Stimulants,American Indian or Alaska Native (Non-Hispanic),3.9,2012
Cocaine,Overall,1.4,2012
Cocaine,White (Non-Hispanic),1.3,2012
Cocaine,Black (Non-Hispanic),3.0,2012
Cocaine,Asian (Non-Hispanic),0.2,2012
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2012
Cocaine,Hispanic,1.0,2012
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.5,2012
Psychostimulants,Overall,0.8,2012
Psychostimulants,White (Non-Hispanic),1.0,2012
Psychostimulants,Black (Non-Hispanic),0.3,2012
Psychostimulants,Asian (Non-Hispanic),0.4,2012
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2012
Psychostimulants,Hispanic,0.6,2012
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),2.6,2012
Total Overdose Deaths,Overall,13.8,2013
Total Overdose Deaths,White (Non-Hispanic),17.6,2013
Total Overdose Deaths,Black (Non-Hispanic),9.7,2013
Total Overdose Deaths,Asian (Non-Hispanic),,2013
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2013
Total Overdose Deaths,Hispanic,6.7,2013
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),18.7,2013
Any opioid,Overall,7.9,2013
Any opioid,White (Non-Hispanic),10.5,2013
Any opioid,Black (Non-Hispanic),4.7,2013
Any opioid,Asian (Non-Hispanic),0.8,2013
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2013
Any opioid,Hispanic,3.8,2013
Any opioid,American Indian or Alaska Native (Non-Hispanic),10.6,2013
Prescription opioids,Overall,4.4,2013
Prescription opioids,White (Non-Hispanic),5.9,2013
Prescription opioids,Black (Non-Hispanic),2.2,2013
Prescription opioids,Asian (Non-Hispanic),0.5,2013
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2013
Prescription opioids,Hispanic,1.9,2013
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),7.071,2013
Synthetic opioids,Overall,1.0,2013
Synthetic opioids,White (Non-Hispanic),1.3,2013
Synthetic opioids,Black (Non-Hispanic),0.5,2013
Synthetic opioids,Asian (Non-Hispanic),0.1,2013
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2013
Synthetic opioids,Hispanic,0.3,2013
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),1.2,2013
Heroin,Overall,2.7,2013
Heroin,White (Non-Hispanic),3.4,2013
Heroin,Black (Non-Hispanic),2.0,2013
Heroin,Asian (Non-Hispanic),0.3,2013
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2013
Heroin,Hispanic,1.6,2013
Heroin,American Indian or Alaska Native (Non-Hispanic),2.7,2013
Stimulants,Overall,2.6,2013
Stimulants,White (Non-Hispanic),2.8,2013
Stimulants,Black (Non-Hispanic),3.7,2013
Stimulants,Asian (Non-Hispanic),,2013
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2013
Stimulants,Hispanic,2.0,2013
Stimulants,American Indian or Alaska Native (Non-Hispanic),4.7,2013
Cocaine,Overall,1.6,2013
Cocaine,White (Non-Hispanic),1.5,2013
Cocaine,Black (Non-Hispanic),3.4,2013
Cocaine,Asian (Non-Hispanic),0.2,2013
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2013
Cocaine,Hispanic,1.1,2013
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.3,2013
Psychostimulants,Overall,1.2,2013
Psychostimulants,White (Non-Hispanic),1.4,2013
Psychostimulants,Black (Non-Hispanic),0.4,2013
Psychostimulants,Asian (Non-Hispanic),0.5,2013
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2013
Psychostimulants,Hispanic,0.9,2013
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),3.5,2013
Total Overdose Deaths,Overall,14.7,2014
Total Overdose Deaths,White (Non-Hispanic),19.0,2014
Total Overdose Deaths,Black (Non-Hispanic),10.5,2014
Total Overdose Deaths,Asian (Non-Hispanic),,2014
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2014
Total Overdose Deaths,Hispanic,6.7,2014
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),20.9,2014
Any opioid,Overall,9.0,2014
Any opioid,White (Non-Hispanic),12.0,2014
Any opioid,Black (Non-Hispanic),5.6,2014
Any opioid,Asian (Non-Hispanic),0.9,2014
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2014
Any opioid,Hispanic,4.0,2014
Any opioid,American Indian or Alaska Native (Non-Hispanic),12.0,2014
Prescription opioids,Overall,4.6,2014
Prescription opioids,White (Non-Hispanic),6.2,2014
Prescription opioids,Black (Non-Hispanic),2.5,2014
Prescription opioids,Asian (Non-Hispanic),0.5,2014
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2014
Prescription opioids,Hispanic,1.8,2014
